"rev_1","rev_2","rev_3","rev_4","rev_5","rev_6","y0_6","y0_5","y0_4","y0_3","y0_2","y0_1","y1_6","y1_5","y1_4","y1_3","y1_2","y1_1","risk_score","last_month","last_3month","last_6month","metro_last_month","sports_last_month","news_last_month","lifestyle_last_month","business_last_month","opinion_last_month","arts_last_month","sunday_magazine_last_month","ideas_last_month","search_last_month","member_center_last_month","south_last_month","spotlight_last_month","page_not_found_last_month","nation_last_month","north_last_month","magazine_last_month","circulars_last_month","politics_last_month","metro_last_3month","sports_last_3month","news_last_3month","lifestyle_last_3month","business_last_3month","opinion_last_3month","arts_last_3month","sunday_magazine_last_3month","ideas_last_3month","search_last_3month","member_center_last_3month","south_last_3month","spotlight_last_3month","page_not_found_last_3month","nation_last_3month","north_last_3month","magazine_last_3month","circulars_last_3month","politics_last_3month","metro_last_6month","sports_last_6month","news_last_6month","lifestyle_last_6month","business_last_6month","opinion_last_6month","arts_last_6month","sunday_magazine_last_6month","ideas_last_6month","search_last_6month","member_center_last_6month","south_last_6month","spotlight_last_6month","page_not_found_last_6month","nation_last_6month","north_last_6month","magazine_last_6month","circulars_last_6month","politics_last_6month","treated","p_treated","subscriber_id"
148.577682495117,149.654360961914,150.313339233398,154.588531494141,153.978149414062,154.902941894531,151.834425,151.658322,151.105701,149.793549,149.386524,149.51346,154.016619,154.66539,153.901245,152.69721,151.04736,150.534312,0.000144362449645996,0,149,406,15,11,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,28,19,14,5,0,2,3,0,0,0,0,0,0,0,0,3,0,0,61,84,52,26,17,0,7,6,0,0,0,0,0,0,0,0,6,0,0,0,0.0141098233823832,1
135.242330932617,136.455450439453,139.746405029297,143.600720214844,145.477239990234,148.444931030273,132.630981,133.784802,134.036481,131.17707,133.584504,133.14978,63.704676,82.675965,82.100775,81.949905,137.05656,134.48403,0.00945264101028442,0,7,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00876808344927037,2
149.83971862793,150.498797607422,152.19111328125,153.59270324707,153.501425170898,156.105395507812,147.106668,145.860324,145.756722,146.029029,145.912968,146.563725,153.346215,152.377962,148.68771,145.947666,149.50773,148.410591,0.00140947103500366,0,62,297,15,63,2,1,3,0,0,2,0,0,0,0,1,0,0,0,2,0,0,33,139,10,16,9,0,6,6,0,0,0,0,1,0,0,0,6,0,0,52,301,19,23,25,1,15,13,0,0,0,0,1,0,0,0,13,0,0,0,0.00776082392583033,3
150.007571411133,152.656466674805,153.148599243164,153.269512939453,153.338626098633,154.074517822266,153.005988,151.910211,151.85622,151.561854,150.517695,150.06327,151.234059,151.152192,151.208946,151.66245,148.12095,146.31711,0.00297373533248901,0,247,488,45,5,27,20,15,10,2,11,2,0,0,0,0,0,0,0,11,0,0,124,24,88,66,38,39,3,26,3,0,0,0,0,0,0,0,28,0,0,248,32,151,103,70,64,6,38,3,0,0,0,0,0,0,0,40,0,0,0,0.00726843854163005,4
142.267922973633,145.870193481445,147.141430664062,148.496694946289,150.039431762695,149.656823730469,144.468375,144.055389,141.902316,142.33833,140.347356,138.071016,151.537674,148.53216,146.896665,143.913564,146.182701,143.82288,0.00227648019790649,0,13,45,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,20,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,19,83,1,0,2,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0.00804250526243285,5
145.320492553711,147.824588012695,149.666271972656,151.745956420898,152.727630615234,153.714239501953,148.478028,148.443228,147.71583,146.344986,145.98711,144.483591,116.214369,117.572178,117.394392,153.077682,150.041802,146.896884,0.000778079032897949,0,26,88,6,15,4,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,18,39,8,6,1,1,0,4,0,0,0,0,0,0,0,0,4,0,0,29,49,20,8,2,5,0,7,0,0,0,1,0,0,0,0,8,0,0,0,0.0080098076202136,6
133.176992797852,135.153826904297,140.131558227539,148.529397583008,147.949694824219,149.219842529297,128.69103,128.797704,129.105495,130.60098,128.609865,128.191002,137.433912,132.34098,137.30781,137.749182,138.433629,133.77015,0.000119924545288086,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0206134594823985,7
129.631448364258,132.251834106445,135.863278198242,138.610162353516,141.102200317383,112.633071899414,137.06781,134.417808,134.615532,131.99304,127.679316,127.48971,115.22016,119.6697,125.680974,121.765311,130.865085,130.4622,0.0004311203956604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0222993039837359,8
129.631448364258,132.251834106445,135.478125,138.610162353516,141.102200317383,143.848306274414,135.566841,133.646676,133.770054,131.528631,130.120275,129.28182,134.076186,134.133078,109.903188,127.892625,134.096172,131.59278,0.000351428985595703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00832590543887079,9
139.453646850586,140.685168457031,139.687847900391,143.133544921875,142.905413818359,146.266049194336,139.004259,136.686876,134.524566,136.270614,134.537916,132.303405,146.10498,145.196952,143.71761,140.785518,140.157558,131.53599,0.000912785530090332,0,2,12,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0122012142426771,10
